cod_dpt;cod_publicacion;title;descripcion;format;url
IMATACA;1;CROQUIS DE LA PARROQUIA IMATACA;CROQUIS DE LA PARROQUIA IMATACA;pptx;https://docs.google.com/presentation/d/1DyJw6aLPsh43NhmpAjXi4pmQON1uABjd/edit?usp=drive_link&ouid=105142876406402750370&rtpof=true&sd=true
JOSE VIDAL MARCANO;2;CROQUIS COMUNIDADES JOSE VIDAL MARCANO;COMUNIDADES JOSE VIDAL MARCANO;pptx;https://docs.google.com/presentation/d/1JjQsxPLEkrQBHN1klcI-p7idTpjXRtdl/edit?usp=drive_link&ouid=105142876406402750370&rtpof=true&sd=true
JUAN BAUTISTA ARISMENDI;3;CROQUIS PARROQUIA JUAN BAUTISTA ARISMENDI;CROQUIS PARROQUIA JUAN BAUTISTA ARISMENDI;pptx;https://docs.google.com/presentation/d/1MQHoehKn2nj1m2zwv25PrnwBlefMsXKP/edit?usp=drive_link&ouid=105142876406402750370&rtpof=true&sd=true
JUAN MILLAN;4;CROQUIS DE LAS COMUNIDADES JUAN MILLAN;CROQUIS DE LAS COMUNIDADES JUAN MILLAN;pptx;https://docs.google.com/presentation/d/1YvXFCsFlMzV7i_M3mc-EfqgzpW7xkeRq/edit?usp=drive_link&ouid=105142876406402750370&rtpof=true&sd=true
LEONARDO RUIZ PINEDA;5;CROQUIS DE LAS COMUNIDADES DE LEONARDO RUIZ PINEDA;CROQUIS DE LAS COMUNIDADES DE LEONARDO RUIZ PINEDA;pptx;https://docs.google.com/presentation/d/15qlfC3l0JVK5bcARaO77feAvqpvBFUNW/edit?usp=drive_link&ouid=105142876406402750370&rtpof=true&sd=true
ALMIRANTE LUIS BRIÓN;6;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA SECTOR BARCELONA ;pdf;https://drive.google.com/file/d/19X1dH1ABTt_G61WhrC8CLf80HSki2M-8/view?usp=drive_link
ALMIRANTE LUIS BRIÓN;7;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA SECTOR BELLA VISTA;pdf;https://drive.google.com/file/d/1EFyP6OZ2wgYUa0UC5wUpwqdUBf3Zd4tQ/view?usp=drive_link
ALMIRANTE LUIS BRIÓN;8;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA SECTOR BOCA CAIMAN;pdf;https://drive.google.com/file/d/1Bcn1mHTy_w9cn7UOdDqTk17psqsUQF3L/view?usp=drive_link
ALMIRANTE LUIS BRIÓN;9;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA SECTOR BOCA DE MANAO;pdf;https://drive.google.com/file/d/1HJiu2fS5hXcI3mKzDegoEWoYLEKSgh7P/view?usp=drive_link
ALMIRANTE LUIS BRIÓN;10;CROQUIS DE LAS COMUNIDADES INDIGENA ; CROQUIS DE LAS COMUNIDADES INDIGENA SECTOR BOCA DE PALOMA;pdf;https://drive.google.com/file/d/1nsuE4F5KW3WccKFjv8XnvWclgn7c_KjL/view?usp=drive_link
